"country","sex","five_year_age_group","Time","age_at_start","n_pop","prev_anxiety","prev_bipolar","prev_depression","Self-harm","country_sex_age","n_anxiety","n_bipolar","n_depression","Pr_in_school","Pr_access_internet","gdp_per_cap_2019_monthly","exp_w_edu_adv","exp_w_edu_basic","exp_w_edu_inter","exp_w_edu_lt_basic"
"Argentina","Female","10 to 14",2019,11,352634,0.058754106,0.00319186093,0.0125049107,0.000215589581944826,"Argentina_Female_11",20718.695415204,1125.55868718962,4409.6566797838,0.9646477,0.7429490687,826.023484049836,620.883726056888,283.393811718871,375.455143704369,124.454285318722
"Argentina","Female","10 to 14",2019,12,351340,0.058754106,0.00319186093,0.0125049107,0.000215589581944826,"Argentina_Female_12",20642.66760204,1121.4284191462,4393.475325338,0.9646477,0.7429490687,826.023484049836,620.883726056888,283.393811718871,375.455143704369,124.454285318722
"Argentina","Female","10 to 14",2019,13,350604,0.058754106,0.00319186093,0.0125049107,0.000215589581944826,"Argentina_Female_13",20599.424580024,1119.07920950172,4384.2717110628,0.9646477,0.7429490687,826.023484049836,620.883726056888,283.393811718871,375.455143704369,124.454285318722
"Argentina","Female","10 to 14",2019,14,349889,0.058754106,0.00319186093,0.0125049107,0.000215589581944826,"Argentina_Female_14",20557.415394234,1116.79702893677,4375.3306999123,0.9646477,0.7429490687,826.023484049836,620.883726056888,283.393811718871,375.455143704369,124.454285318722
"Argentina","Female","15 to 19",2019,15,349406,0.075441742,0.0118665989,0.032680547,0.00102881279894414,"Argentina_Female_15",26359.797305252,4146.2608552534,11418.779205082,0.9646477,0.7429490687,826.023484049836,620.883726056888,283.393811718871,375.455143704369,124.454285318722
"Argentina","Female","15 to 19",2019,16,348588,0.075441742,0.0118665989,0.032680547,0.00102881279894414,"Argentina_Female_16",26298.085960296,4136.5539773532,11392.046517636,0.9646477,0.7429490687,826.023484049836,620.883726056888,283.393811718871,375.455143704369,124.454285318722
"Argentina","Female","15 to 19",2019,17,347128,0.075441742,0.0118665989,0.032680547,0.00102881279894414,"Argentina_Female_17",26187.941016976,4119.2287429592,11344.332919016,0.9646477,0.7429490687,826.023484049836,620.883726056888,283.393811718871,375.455143704369,124.454285318722
"Argentina","Female","15 to 19",2019,18,345376,0.075441742,0.0118665989,0.032680547,0.00102881279894414,"Argentina_Female_18",26055.767084992,4098.4384616864,11287.076600672,0.9646477,0.7429490687,826.023484049836,620.883726056888,283.393811718871,375.455143704369,124.454285318722
"Argentina","Female","15 to 19",2019,19,343708,0.075441742,0.0118665989,0.032680547,0.00102881279894414,"Argentina_Female_19",25929.930259336,4078.6449747212,11232.565448276,0.9646477,0.7429490687,826.023484049836,620.883726056888,283.393811718871,375.455143704369,124.454285318722
"Argentina","Male","10 to 14",2019,10,367940,0.041033203,0.0047814021,0.0052689279,8.79559207255815e-05,"Argentina_Male_10",15097.75671182,1759.269088674,1938.649331526,0.9235486,0.7429490687,826.023484049836,253.389966919916,124.454285318722,163.941892925435,124.454285318722
"Argentina","Male","10 to 14",2019,11,365651,0.041033203,0.0047814021,0.0052689279,8.79559207255815e-05,"Argentina_Male_11",15003.831710153,1748.3244592671,1926.5887555629,0.9235486,0.7429490687,826.023484049836,253.389966919916,124.454285318722,163.941892925435,124.454285318722
"Argentina","Male","10 to 14",2019,12,364232,0.041033203,0.0047814021,0.0052689279,8.79559207255815e-05,"Argentina_Male_12",14945.605595096,1741.5396496872,1919.1121468728,0.9235486,0.7429490687,826.023484049836,253.389966919916,124.454285318722,163.941892925435,124.454285318722
"Argentina","Male","10 to 14",2019,13,363371,0.041033203,0.0047814021,0.0052689279,8.79559207255815e-05,"Argentina_Male_13",14910.276007313,1737.4228624791,1914.5755999509,0.9235486,0.7429490687,826.023484049836,253.389966919916,124.454285318722,163.941892925435,124.454285318722
"Argentina","Male","10 to 14",2019,14,362499,0.041033203,0.0047814021,0.0052689279,8.79559207255815e-05,"Argentina_Male_14",14874.495054297,1733.2534798479,1909.9810948221,0.9235486,0.7429490687,826.023484049836,253.389966919916,124.454285318722,163.941892925435,124.454285318722
"Argentina","Male","15 to 19",2019,15,361833,0.048156948,0.0159246735,0.0158949011,0.00066084667835027,"Argentina_Male_15",17424.772965684,5762.0723865255,5751.2997497163,0.9235486,0.7429490687,826.023484049836,253.389966919916,124.454285318722,163.941892925435,124.454285318722
"Argentina","Male","15 to 19",2019,16,360770,0.048156948,0.0159246735,0.0158949011,0.00066084667835027,"Argentina_Male_16",17373.58212996,5745.144458595,5734.403469847,0.9235486,0.7429490687,826.023484049836,253.389966919916,124.454285318722,163.941892925435,124.454285318722
"Argentina","Male","15 to 19",2019,17,358986,0.048156948,0.0159246735,0.0158949011,0.00066084667835027,"Argentina_Male_17",17287.670134728,5716.734841071,5706.0469662846,0.9235486,0.7429490687,826.023484049836,253.389966919916,124.454285318722,163.941892925435,124.454285318722
"Argentina","Male","15 to 19",2019,18,356840,0.048156948,0.0159246735,0.0158949011,0.00066084667835027,"Argentina_Male_18",17184.32532432,5682.56049174,5671.936508524,0.9235486,0.7429490687,826.023484049836,253.389966919916,124.454285318722,163.941892925435,124.454285318722
"Argentina","Male","15 to 19",2019,19,354729,0.048156948,0.0159246735,0.0158949011,0.00066084667835027,"Argentina_Male_19",17082.666007092,5648.9435059815,5638.3823723019,0.9235486,0.7429490687,826.023484049836,253.389966919916,124.454285318722,163.941892925435,124.454285318722
"Bangladesh","Female","10 to 14",2019,10,1465929,0.023902672,0.00103734524,0.0077200755,0.000120457062971707,"Bangladesh_Female_10",35039.620062288,1520.67447032796,11317.0825576395,0.6885048,0.129,154.644985340038,333.047333483238,84.3539953612741,145.507545581587,55.3300650269456
"Bangladesh","Female","10 to 14",2019,11,1476430,0.023902672,0.00103734524,0.0077200755,0.000120457062971707,"Bangladesh_Female_11",35290.62202096,1531.5676326932,11398.151070465,0.6885048,0.129,154.644985340038,333.047333483238,84.3539953612741,145.507545581587,55.3300650269456
"Bangladesh","Female","10 to 14",2019,12,1489188,0.023902672,0.00103734524,0.0077200755,0.000120457062971707,"Bangladesh_Female_12",35595.572310336,1544.80208326512,11496.643793694,0.6885048,0.129,154.644985340038,333.047333483238,84.3539953612741,145.507545581587,55.3300650269456
"Bangladesh","Female","10 to 14",2019,13,1502756,0.023902672,0.00103734524,0.0077200755,0.000120457062971707,"Bangladesh_Female_13",35919.883764032,1558.87678348144,11601.389778078,0.6885048,0.129,154.644985340038,333.047333483238,84.3539953612741,145.507545581587,55.3300650269456
"Bangladesh","Female","10 to 14",2019,14,1515508,0.023902672,0.00103734524,0.0077200755,0.000120457062971707,"Bangladesh_Female_14",36224.690637376,1572.10500998192,11699.836180854,0.6885048,0.129,154.644985340038,333.047333483238,84.3539953612741,145.507545581587,55.3300650269456
"Bangladesh","Female","15 to 19",2019,15,1528226,0.033908706,0.003750076,0.027560658,0.000539069196184088,"Bangladesh_Female_15",51820.166135556,5730.963645176,42118.914132708,0.6885048,0.129,154.644985340038,333.047333483238,84.3539953612741,145.507545581587,55.3300650269456
"Bangladesh","Female","15 to 19",2019,16,1535554,0.033908706,0.003750076,0.027560658,0.000539069196184088,"Bangladesh_Female_16",52068.649133124,5758.444202104,42320.878634532,0.6885048,0.129,154.644985340038,333.047333483238,84.3539953612741,145.507545581587,55.3300650269456
"Bangladesh","Female","15 to 19",2019,17,1534804,0.033908706,0.003750076,0.027560658,0.000539069196184088,"Bangladesh_Female_17",52043.217603624,5755.631645104,42300.208141032,0.6885048,0.129,154.644985340038,333.047333483238,84.3539953612741,145.507545581587,55.3300650269456
"Bangladesh","Female","15 to 19",2019,18,1528401,0.033908706,0.003750076,0.027560658,0.000539069196184088,"Bangladesh_Female_18",51826.100159106,5731.619908476,42123.737247858,0.6885048,0.129,154.644985340038,333.047333483238,84.3539953612741,145.507545581587,55.3300650269456
"Bangladesh","Female","15 to 19",2019,19,1521642,0.033908706,0.003750076,0.027560658,0.000539069196184088,"Bangladesh_Female_19",51596.911215252,5706.273144792,41937.454760436,0.6885048,0.129,154.644985340038,333.047333483238,84.3539953612741,145.507545581587,55.3300650269456
"Bangladesh","Male","10 to 14",2019,10,1528551,0.0149618883,0.00109219649,0.0040246152,0.000117569196612133,"Bangladesh_Male_10",22870.0093228533,1669.47803698599,6151.8295885752,0.6907441,0.129,154.644985340038,167.558957514669,73.3482098973021,97.8280849177727,55.3300650269456
"Bangladesh","Male","10 to 14",2019,11,1539929,0.0149618883,0.00109219649,0.0040246152,0.000117569196612133,"Bangladesh_Male_11",23040.2456879307,1681.90504864921,6197.6216603208,0.6907441,0.129,154.644985340038,167.558957514669,73.3482098973021,97.8280849177727,55.3300650269456
"Bangladesh","Male","10 to 14",2019,12,1554955,0.0149618883,0.00109219649,0.0040246152,0.000117569196612133,"Bangladesh_Male_12",23265.0630215265,1698.31639310795,6258.095528316,0.6907441,0.129,154.644985340038,167.558957514669,73.3482098973021,97.8280849177727,55.3300650269456
"Bangladesh","Male","10 to 14",2019,13,1571460,0.0149618883,0.00109219649,0.0040246152,0.000117569196612133,"Bangladesh_Male_13",23512.008987918,1716.3430961754,6324.521802192,0.6907441,0.129,154.644985340038,167.558957514669,73.3482098973021,97.8280849177727,55.3300650269456
"Bangladesh","Male","10 to 14",2019,14,1586581,0.0149618883,0.00109219649,0.0040246152,0.000117569196612133,"Bangladesh_Male_14",23738.2477009023,1732.85819930069,6385.3780086312,0.6907441,0.129,154.644985340038,167.558957514669,73.3482098973021,97.8280849177727,55.3300650269456
"Bangladesh","Male","15 to 19",2019,15,1601307,0.02321735,0.0039692319,0.0132541721,0.000464516096777797,"Bangladesh_Male_15",37178.10507645,6355.9588260933,21223.9985629347,0.6907441,0.129,154.644985340038,167.558957514669,73.3482098973021,97.8280849177727,55.3300650269456
"Bangladesh","Male","15 to 19",2019,16,1609235,0.02321735,0.0039692319,0.0132541721,0.000464516096777797,"Bangladesh_Male_16",37362.17222725,6387.4268965965,21329.0776393435,0.6907441,0.129,154.644985340038,167.558957514669,73.3482098973021,97.8280849177727,55.3300650269456
"Bangladesh","Male","15 to 19",2019,17,1607014,0.02321735,0.0039692319,0.0132541721,0.000464516096777797,"Bangladesh_Male_17",37310.6064929,6378.6112325466,21299.6401231094,0.6907441,0.129,154.644985340038,167.558957514669,73.3482098973021,97.8280849177727,55.3300650269456
"Bangladesh","Male","15 to 19",2019,18,1597458,0.02321735,0.0039692319,0.0132541721,0.000464516096777797,"Bangladesh_Male_18",37088.7414963,6340.6812525102,21172.9832545218,0.6907441,0.129,154.644985340038,167.558957514669,73.3482098973021,97.8280849177727,55.3300650269456
"Bangladesh","Male","15 to 19",2019,19,1587184,0.02321735,0.0039692319,0.0132541721,0.000464516096777797,"Bangladesh_Male_19",36850.2064424,6299.9013639696,21036.8098903664,0.6907441,0.129,154.644985340038,167.558957514669,73.3482098973021,97.8280849177727,55.3300650269456
"Brazil","Female","10 to 14",2019,10,1442443,0.0614934704816673,0.0047099812852901,0.0305514391599199,2.1778418110703e-05,"Brazil_Female_10",88700.8260419876,6793.87953509771,44068.7095561524,0.9199064,0.7043428254,726.432189842349,245.455584907903,83.6444638271138,126.603260039409,65.8506036761724
"Brazil","Female","10 to 14",2019,11,1455879,0.0614934704816673,0.0047099812852901,0.0305514391599199,2.1778418110703e-05,"Brazil_Female_11",89527.0523113793,6857.16284364687,44479.198692705,0.9199064,0.7043428254,726.432189842349,245.455584907903,83.6444638271138,126.603260039409,65.8506036761724
"Brazil","Female","10 to 14",2019,12,1479148,0.0614934704816673,0.0047099812852901,0.0305514391599199,2.1778418110703e-05,"Brazil_Female_12",90957.9438760172,6966.75939817429,45190.1001305172,0.9199064,0.7043428254,726.432189842349,245.455584907903,83.6444638271138,126.603260039409,65.8506036761724
"Brazil","Female","10 to 14",2019,13,1508830,0.0614934704816673,0.0047099812852901,0.0305514391599199,2.1778418110703e-05,"Brazil_Female_13",92783.193066854,7106.56106268427,46096.927947662,0.9199064,0.7043428254,726.432189842349,245.455584907903,83.6444638271138,126.603260039409,65.8506036761724
"Brazil","Female","10 to 14",2019,14,1538159,0.0614934704816673,0.0047099812852901,0.0305514391599199,2.1778418110703e-05,"Brazil_Female_14",94586.7350626109,7244.70010380054,46992.9711067833,0.9199064,0.7043428254,726.432189842349,245.455584907903,83.6444638271138,126.603260039409,65.8506036761724
"Brazil","Female","15 to 19",2019,15,1567708,0.0934416299245412,0.0169097665748823,0.0476645071751871,7.56687290993471e-05,"Brazil_Female_15",146489.190765743,26509.5763375755,74724.0292145983,0.9199064,0.7043428254,726.432189842349,245.455584907903,83.6444638271138,126.603260039409,65.8506036761724
"Brazil","Female","15 to 19",2019,16,1596117,0.0934416299245412,0.0169097665748823,0.0476645071751871,7.56687290993471e-05,"Brazil_Female_16",149143.774030269,26989.9658962014,76078.1301989382,0.9199064,0.7043428254,726.432189842349,245.455584907903,83.6444638271138,126.603260039409,65.8506036761724
"Brazil","Female","15 to 19",2019,17,1621768,0.0934416299245412,0.0169097665748823,0.0476645071751871,7.56687290993471e-05,"Brazil_Female_17",151540.645279463,27423.7183186137,77300.7724724889,0.9199064,0.7043428254,726.432189842349,245.455584907903,83.6444638271138,126.603260039409,65.8506036761724
"Brazil","Female","15 to 19",2019,18,1644656,0.0934416299245412,0.0169097665748823,0.0476645071751871,7.56687290993471e-05,"Brazil_Female_18",153679.337305176,27810.7490559796,78391.7177127146,0.9199064,0.7043428254,726.432189842349,245.455584907903,83.6444638271138,126.603260039409,65.8506036761724
"Brazil","Female","15 to 19",2019,19,1667602,0.0934416299245412,0.0169097665748823,0.0476645071751871,7.56687290993471e-05,"Brazil_Female_19",155823.448945425,28198.7605598068,79485.4274943564,0.9199064,0.7043428254,726.432189842349,245.455584907903,83.6444638271138,126.603260039409,65.8506036761724
"Brazil","Male","10 to 14",2019,10,1503735,0.0364419733550987,0.00406430642609496,0.0111535053804212,1.77914848933181e-05,"Brazil_Male_10",54799.0708031293,6111.6398236439,16771.9164132277,0.9206008,0.7043428254,726.432189842349,339.100827495496,107.507143545706,174.904434376994,65.8506036761724
"Brazil","Male","10 to 14",2019,11,1516324,0.0364419733550987,0.00406430642609496,0.0111535053804212,1.77914848933181e-05,"Brazil_Male_11",55257.8388056966,6162.80537724201,16912.3278924618,0.9206008,0.7043428254,726.432189842349,339.100827495496,107.507143545706,174.904434376994,65.8506036761724
"Brazil","Male","10 to 14",2019,12,1539395,0.0364419733550987,0.00406430642609496,0.0111535053804212,1.77914848933181e-05,"Brazil_Male_12",56098.5915729721,6256.57299079845,17169.6504150935,0.9206008,0.7043428254,726.432189842349,339.100827495496,107.507143545706,174.904434376994,65.8506036761724
"Brazil","Male","10 to 14",2019,13,1569213,0.0364419733550987,0.00406430642609496,0.0111535053804212,1.77914848933181e-05,"Brazil_Male_13",57185.2183344744,6377.76247981175,17502.2256385269,0.9206008,0.7043428254,726.432189842349,339.100827495496,107.507143545706,174.904434376994,65.8506036761724
"Brazil","Male","10 to 14",2019,14,1598463,0.0364419733550987,0.00406430642609496,0.0111535053804212,1.77914848933181e-05,"Brazil_Male_14",58251.1460551111,6496.64344277503,17828.4656709042,0.9206008,0.7043428254,726.432189842349,339.100827495496,107.507143545706,174.904434376994,65.8506036761724
"Brazil","Male","15 to 19",2019,15,1627832,0.0493329470306543,0.0143059278024303,0.0200993245957687,7.4545469700036e-05,"Brazil_Male_15",80305.749830804,23287.6470664857,32718.3237553793,0.9206008,0.7043428254,726.432189842349,339.100827495496,107.507143545706,174.904434376994,65.8506036761724
"Brazil","Male","15 to 19",2019,16,1655488,0.0493329470306543,0.0143059278024303,0.0200993245957687,7.4545469700036e-05,"Brazil_Male_16",81670.1018138838,23683.2918057897,33274.1906763999,0.9206008,0.7043428254,726.432189842349,339.100827495496,107.507143545706,174.904434376994,65.8506036761724
